epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,129185,0.74646,0.67502,0.01037,0.4463,0.4815,0.36795,0.15877,0.66509,0.61911,0.01441,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,131932,0.73484,0.66227,0.0102,0.4728,0.49102,0.37067,0.15746,0.66682,0.58333,0.01451,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,134687,0.73721,0.66581,0.01015,0.48583,0.49269,0.37106,0.15538,0.66845,0.56752,0.01455,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,137449,0.73515,0.65653,0.01019,0.4854,0.49125,0.36621,0.15226,0.66973,0.56502,0.01463,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,140214,0.72677,0.65477,0.0101,0.49044,0.492,0.36585,0.15108,0.67124,0.55554,0.01466,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,142985,0.72451,0.64308,0.00999,0.49079,0.48825,0.36531,0.15183,0.67061,0.55568,0.01463,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,145754,0.72048,0.64285,0.00995,0.4877,0.49286,0.36974,0.1513,0.67078,0.55506,0.01463,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,148523,0.71723,0.64317,0.00987,0.49147,0.49067,0.3717,0.15313,0.67012,0.55467,0.01459,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,151295,0.71608,0.6372,0.00987,0.49492,0.49057,0.36764,0.14885,0.668,0.55044,0.01454,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,154070,0.71286,0.63376,0.0098,0.4985,0.49021,0.36445,0.14668,0.66653,0.5463,0.0145,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,156844,0.71624,0.62699,0.00985,0.502,0.48997,0.36855,0.14952,0.66613,0.5409,0.01447,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,159619,0.70824,0.62474,0.00971,0.50033,0.49002,0.36911,0.15038,0.66155,0.54509,0.01432,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,162393,0.71033,0.62156,0.00971,0.50255,0.49248,0.36675,0.15037,0.66108,0.53819,0.0143,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,165168,0.70373,0.61634,0.00961,0.50251,0.49303,0.36565,0.151,0.65949,0.53524,0.01424,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,167942,0.6935,0.61052,0.00947,0.50118,0.4936,0.36704,0.15123,0.65842,0.53651,0.01419,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,170717,0.69741,0.61196,0.00948,0.4999,0.49331,0.36637,0.15037,0.65651,0.53516,0.01413,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,173489,0.69319,0.60559,0.0094,0.49877,0.49533,0.36586,0.15332,0.6556,0.53141,0.01408,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,176264,0.69136,0.61114,0.00941,0.50109,0.49107,0.36716,0.15436,0.65359,0.53038,0.014,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,179035,0.67997,0.59147,0.00918,0.50299,0.49132,0.36768,0.15438,0.65469,0.52648,0.01403,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,181806,0.68372,0.59396,0.00927,0.50718,0.48891,0.36612,0.15621,0.65381,0.52401,0.01396,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,184581,0.68087,0.59356,0.00914,0.50039,0.49502,0.36523,0.15648,0.65319,0.52085,0.01394,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,187352,0.67373,0.58829,0.00913,0.5012,0.4937,0.36616,0.15773,0.65218,0.522,0.0139,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,190139,0.6727,0.58261,0.00908,0.50071,0.49204,0.36503,0.15819,0.6515,0.52262,0.01386,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,192960,0.6697,0.5727,0.00901,0.4991,0.49436,0.36565,0.15863,0.65028,0.52062,0.01376,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,195811,0.66217,0.57499,0.00891,0.49765,0.49246,0.36561,0.15962,0.64878,0.52081,0.01372,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,198657,0.66316,0.57495,0.00891,0.49945,0.49237,0.37152,0.16261,0.64718,0.51876,0.01366,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,201454,0.65206,0.54995,0.00877,0.49687,0.49635,0.37109,0.16378,0.64466,0.52247,0.01359,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,204249,0.64766,0.54911,0.00869,0.50165,0.49137,0.37211,0.16383,0.64373,0.52222,0.01357,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,207045,0.65159,0.55436,0.00871,0.4952,0.49133,0.37042,0.16324,0.64233,0.52401,0.01349,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,209841,0.64467,0.54264,0.00858,0.48971,0.48595,0.36462,0.16111,0.64137,0.52921,0.01342,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,212636,0.63821,0.53693,0.00849,0.49366,0.48776,0.36762,0.16209,0.64021,0.52716,0.01335,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,215428,0.63814,0.53666,0.00846,0.48542,0.49188,0.36654,0.16143,0.63899,0.53005,0.01328,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,218219,0.62888,0.52675,0.00838,0.47878,0.48891,0.36411,0.16127,0.63819,0.53745,0.01324,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,221020,0.62826,0.52736,0.00833,0.47565,0.48818,0.36498,0.16079,0.6393,0.54121,0.0133,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,223879,0.61908,0.51709,0.00816,0.4713,0.48553,0.36389,0.16087,0.64148,0.54056,0.01333,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,226723,0.61476,0.51023,0.00812,0.47492,0.48531,0.36304,0.1607,0.64074,0.54169,0.01329,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,229547,0.61282,0.50993,0.00812,0.47677,0.48647,0.3641,0.16084,0.64171,0.53771,0.01329,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,232346,0.60745,0.50014,0.00801,0.48289,0.49211,0.36286,0.16076,0.64155,0.52542,0.01327,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,235185,0.60126,0.49536,0.00794,0.49761,0.49508,0.36698,0.16287,0.6432,0.5107,0.01333,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,238035,0.60037,0.4953,0.00784,0.49116,0.49402,0.3657,0.16222,0.64459,0.51291,0.0134,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,240883,0.59383,0.48013,0.00778,0.47868,0.49799,0.36486,0.16089,0.64528,0.52177,0.01344,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,243775,0.59101,0.48589,0.00777,0.48713,0.49168,0.36607,0.16171,0.64481,0.52533,0.01342,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,246718,0.58339,0.47228,0.00756,0.49101,0.48342,0.36881,0.16352,0.64753,0.52915,0.0135,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,249654,0.57832,0.47082,0.00753,0.47799,0.49067,0.3688,0.16302,0.64676,0.53275,0.0135,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,252575,0.57302,0.34599,0.00972,0.49585,0.48563,0.36953,0.16248,0.64744,0.52912,0.01351,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,255453,0.56715,0.34301,0.00956,0.49517,0.48722,0.36838,0.16187,0.6478,0.52933,0.01351,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,258274,0.56568,0.33667,0.00951,0.49176,0.48513,0.36861,0.16216,0.64857,0.53592,0.01353,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,261096,0.55663,0.32754,0.00932,0.49313,0.48621,0.37329,0.16448,0.64884,0.53648,0.01357,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,263914,0.54722,0.32162,0.00915,0.50981,0.48588,0.36985,0.16191,0.64824,0.53296,0.01353,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,266669,0.53833,0.31429,0.00896,0.51488,0.48862,0.37181,0.16371,0.64902,0.52551,0.01355,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,269392,0.53148,0.30703,0.00878,0.51458,0.48946,0.37742,0.16692,0.6483,0.52831,0.01352,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,272112,0.52226,0.29989,0.00858,0.51773,0.48894,0.38165,0.16828,0.65186,0.52659,0.01358,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,274900,0.51822,0.291,0.0085,0.51574,0.48933,0.3825,0.16923,0.65597,0.52679,0.01371,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,277720,0.51095,0.28568,0.00837,0.50987,0.49286,0.38264,0.16901,0.65716,0.53111,0.0137,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
