epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,52987.3,0.64728,0.57102,1.09821,0.85308,0.86469,0.86876,0.70504,0.69156,0.57143,0.94425,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,53813.6,0.64443,0.56261,1.09243,0.85398,0.86543,0.86905,0.70561,0.6924,0.57066,0.94538,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,54645.6,0.63717,0.55858,1.09131,0.85644,0.86345,0.86897,0.70573,0.69296,0.56996,0.94598,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,55473.9,0.63645,0.55416,1.08862,0.85195,0.86582,0.86987,0.70577,0.69336,0.56956,0.94605,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,56302.7,0.6359,0.54911,1.08772,0.85745,0.86544,0.87089,0.70603,0.6936,0.57021,0.94686,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,57134.5,0.63294,0.54362,1.08312,0.85772,0.86469,0.87119,0.70598,0.69346,0.56947,0.94662,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,57960.7,0.62579,0.53991,1.07971,0.85917,0.86496,0.87187,0.70601,0.69364,0.56874,0.94722,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,58758.8,0.62288,0.5333,1.07798,0.85852,0.86416,0.87183,0.70562,0.69373,0.56717,0.94718,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,59557.9,0.62676,0.5349,1.07827,0.85908,0.86392,0.87182,0.706,0.69515,0.56544,0.94876,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,60357.5,0.61627,0.52038,1.06639,0.85636,0.86703,0.87217,0.70616,0.69467,0.5633,0.94837,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,61156.3,0.61654,0.5179,1.07152,0.85459,0.86823,0.87275,0.70628,0.69544,0.56353,0.94942,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,61955.9,0.61194,0.51784,1.07147,0.85772,0.86778,0.87308,0.70647,0.69612,0.56281,0.95008,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,62752.9,0.60631,0.5123,1.06847,0.8554,0.86831,0.87355,0.70644,0.69685,0.56214,0.95061,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,63552.5,0.60522,0.50724,1.06414,0.85588,0.86732,0.87352,0.70679,0.69761,0.5606,0.95113,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,64354.4,0.60234,0.50406,1.06095,0.85703,0.86693,0.8745,0.70698,0.6989,0.55935,0.95188,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,65157.9,0.59839,0.49755,1.05971,0.85779,0.86751,0.87504,0.70712,0.70006,0.55775,0.95262,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,65958.8,0.5962,0.49609,1.06143,0.85925,0.86642,0.87507,0.70686,0.70086,0.5571,0.9531,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,66763.2,0.59079,0.48773,1.05779,0.86118,0.86604,0.87542,0.70716,0.70214,0.55632,0.95431,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,67562.9,0.5902,0.47956,1.05225,0.86113,0.86614,0.87485,0.70679,0.70271,0.55539,0.95449,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,68362.6,0.58808,0.4752,1.05239,0.86111,0.86699,0.87504,0.70648,0.70263,0.55496,0.95373,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,69162,0.58028,0.47193,1.04781,0.86308,0.86762,0.87557,0.70648,0.70351,0.55451,0.95403,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,69959.7,0.57544,0.46431,1.04356,0.8653,0.86686,0.87648,0.70595,0.70455,0.55401,0.95498,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,70756.5,0.57065,0.45904,1.04316,0.86696,0.86638,0.87627,0.70612,0.70427,0.554,0.95445,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,71552.5,0.57051,0.45671,1.04059,0.8677,0.86857,0.87772,0.70666,0.70467,0.5546,0.95486,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,72352.2,0.5665,0.45046,1.04181,0.86794,0.86668,0.87754,0.70617,0.70677,0.55499,0.95633,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,896.71,0.57895,0.41666,1.03761,0.86778,0.86482,0.87725,0.70615,0.70725,0.55383,0.9573,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,1739.21,0.57156,0.39799,1.03332,0.86752,0.86396,0.87643,0.70571,0.70829,0.55258,0.95866,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,2583.98,0.56132,0.38603,1.02733,0.86642,0.86387,0.87598,0.70614,0.70966,0.55223,0.96087,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,3541.3,0.55632,0.37846,1.02239,0.86698,0.86787,0.87596,0.70601,0.71038,0.5528,0.96234,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,4577.32,0.55243,0.37078,1.02006,0.86683,0.86733,0.87563,0.70573,0.71215,0.55333,0.96462,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,5451.57,0.53966,0.35995,1.00951,0.86794,0.86754,0.87533,0.70509,0.71222,0.55222,0.9656,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,6305.17,0.53806,0.3549,1.00791,0.86807,0.86753,0.87555,0.70488,0.71376,0.55217,0.96795,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,7151.37,0.53159,0.34581,1.00244,0.86734,0.86852,0.87535,0.70443,0.71474,0.55292,0.9695,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,7991.73,0.52556,0.33594,0.99767,0.86683,0.86718,0.87477,0.70399,0.71593,0.55405,0.97131,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,8831.06,0.52077,0.3311,0.99425,0.86588,0.86592,0.87306,0.70342,0.71689,0.553,0.9727,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
