epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,48752.5,0.69603,0.61095,0.00924,0.86084,0.88095,0.88787,0.74301,0.6496,0.5319,0.01352,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,49729.5,0.6981,0.61076,0.00926,0.86223,0.88203,0.88632,0.74321,0.64924,0.53118,0.01352,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,50704.8,0.69126,0.60932,0.00922,0.86663,0.88129,0.8867,0.74314,0.64855,0.53172,0.01349,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,51677.5,0.69288,0.60219,0.00925,0.86537,0.87585,0.88716,0.74353,0.64799,0.53541,0.01348,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,52656.3,0.68484,0.59017,0.00909,0.85444,0.8736,0.88691,0.74365,0.64693,0.54079,0.01344,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,53632.6,0.68144,0.59444,0.00899,0.86658,0.88267,0.88743,0.74347,0.64648,0.52869,0.01342,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,54607.5,0.67426,0.59005,0.00888,0.86733,0.87848,0.88677,0.74373,0.64377,0.53067,0.01334,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,55594.2,0.67307,0.58999,0.00891,0.8719,0.87524,0.88776,0.74386,0.64362,0.53045,0.01333,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,56569.7,0.67485,0.57691,0.0089,0.86827,0.87418,0.88773,0.74386,0.64367,0.5315,0.01331,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,57545.4,0.66873,0.5759,0.0088,0.86718,0.87514,0.88813,0.74385,0.64256,0.53208,0.01329,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
